type,state,timeStamp,Ax,Ay,Az,Gx,Gy,Gz
tail,0,1592196550416,14376,-3328,9408,-1808,-602,1597
tail,0,1592196550466,13692,-3264,9380,-1792,-1340,2389
tail,0,1592196550516,13740,-3376,9324,-1808,-1484,2193
tail,0,1592196550574,13780,-3672,9748,-1776,-618,2732
tail,0,1592196550616,13240,-3556,9240,-1776,-1161,4348
tail,0,1592196550674,12944,-4328,11084,-1808,-2185,2579
tail,0,1592196550716,13076,-4468,10332,-1792,-1423,3033
tail,0,1592196550766,12264,-4316,10304,-1792,-914,3543
tail,0,1592196550824,12644,-4680,11460,-1792,1038,2938
tail,0,1592196550866,12092,-4408,10876,-1808,400,2990
tail,0,1592196550916,11948,-4608,11288,-1792,124,2042
tail,0,1592196550966,11572,-4704,11408,-1792,-433,2355
tail,0,1592196551034,11508,-4900,11900,-1792,-183,2242
tail,0,1592196551069,11164,-4724,11564,-1776,-438,2598
tail,0,1592196551120,11228,-4880,12180,-1808,-738,3190
tail,0,1592196551209,11144,-4896,12072,-1792,-1119,3273
tail,0,1592196551218,10260,-5052,12328,-1792,-1400,3438
tail,0,1592196551303,10520,-5500,12696,-1808,-1974,3973
tail,0,1592196551319,9416,-5344,12904,-1776,-1557,4336
tail,0,1592196551374,9764,-5780,13200,-1792,-957,4075
tail,0,1592196551420,9204,-5696,13184,-1792,-134,3268
tail,0,1592196551467,9192,-5648,13340,-1808,-587,5236
tail,0,1592196551517,8928,-5828,13552,-1808,-1091,3550
tail,0,1592196551581,7872,-5872,13544,-1792,-1055,1753
tail,0,1592196551657,8524,-6096,14068,-1824,-2062,944
tail,0,1592196551673,8008,-6232,13888,-1792,-1336,1796
tail,0,1592196551716,9004,-5948,13420,-1808,-1054,2484
tail,0,1592196551772,6820,-6076,14056,-1808,-1599,1333
tail,0,1592196551834,7752,-6352,14392,-1792,-128,762
tail,0,1592196551865,7824,-6168,14024,-1792,-427,1338
tail,0,1592196551916,7324,-6264,14120,-1808,-390,2899
tail,0,1592196551965,7476,-6596,14880,-1776,421,1990
tail,0,1592196552016,6816,-6264,14152,-1776,164,1206
tail,0,1592196552065,6144,-6204,14232,-1792,-9,3357
tail,0,1592196552116,6720,-6072,14296,-1760,362,2189
tail,0,1592196552166,6488,-6268,14876,-1760,-244,3612
tail,0,1592196552224,5132,-6552,15496,-1808,898,1383
tail,0,1592196552266,5564,-6200,14812,-1776,1146,3932
tail,0,1592196552316,5048,-6324,15528,-1776,1277,2353
tail,0,1592196552374,5028,-6144,15448,-1792,1498,2338
tail,0,1592196552416,4332,-5680,15020,-1760,1160,3710
tail,0,1592196552465,4076,-5748,15428,-1808,-281,1659
tail,0,1592196552527,3896,-5832,15864,-1808,128,2854
tail,0,1592196552566,3944,-5520,15336,-1776,1228,2069
tail,0,1592196552625,3140,-5764,15976,-1792,575,-1008
tail,0,1592196552702,3636,-5436,15412,-1792,-354,-128
tail,0,1592196552724,4300,-5520,15540,-1776,-370,158
tail,0,1592196552767,3764,-5652,15756,-1776,544,1037
tail,0,1592196552815,3184,-5356,15740,-1776,226,503
tail,0,1592196552866,3964,-5440,15728,-1792,-367,1916
tail,0,1592196552915,3092,-5380,15772,-1792,-198,17
tail,0,1592196552966,3512,-5384,15584,-1808,-970,-1958
tail,0,1592196553016,3900,-5672,16152,-1776,-751,-2969
tail,0,1592196553069,3764,-5844,16088,-1776,340,-5499
tail,0,1592196553116,4672,-5312,15580,-1792,171,-5639
tail,0,1592196553166,6016,-5004,14868,-1824,-1008,-6375
tail,0,1592196553215,6308,-4972,15016,-1776,355,-7616
tail,0,1592196553266,6880,-4964,14632,-1776,-702,-6488
tail,0,1592196553316,8224,-4628,14024,-1776,339,-7691
tail,0,1592196553374,7816,-4876,14724,-1792,652,-6060
tail,0,1592196553424,9440,-4400,13748,-1792,-195,-6555
tail,0,1592196553466,9812,-4436,13760,-1792,444,-5966
tail,0,1592196553516,10572,-3940,12876,-1776,395,-6751
tail,0,1592196553566,10888,-3784,12676,-1808,1087,-6915
tail,0,1592196553620,12348,-3136,11624,-1792,777,-8082
tail,0,1592196553670,12164,-2876,11332,-1792,-43,-5985
tail,0,1592196553716,12888,-3016,11312,-1792,339,-6261
tail,0,1592196553767,13128,-2624,10640,-1808,319,-5669
tail,0,1592196553820,13504,-2264,9808,-1776,889,-5878
tail,0,1592196553866,14240,-1992,9124,-1776,-146,-7416
tail,0,1592196553916,14724,-2160,9148,-1744,1607,-5003
tail,0,1592196553966,14636,-1388,7904,-1792,2421,-3949
tail,0,1592196554016,14948,-1408,7764,-1792,-44,-5176
tail,0,1592196554066,15524,-1212,7588,-1776,-527,-2789
tail,0,1592196554116,15260,-1084,7148,-1776,-1202,-3511
tail,0,1592196554167,15296,-1156,7240,-1808,-276,-2723
tail,0,1592196554216,15380,-664,6308,-1792,855,-3776
tail,0,1592196554266,15688,-864,6832,-1776,-263,-5542
tail,0,1592196554316,16484,-664,5972,-1792,2926,-5146
tail,0,1592196554368,16196,-180,4808,-1792,1484,-4174
tail,0,1592196554416,16008,348,3944,-1792,-975,-5240
tail,0,1592196554466,16624,8,4364,-1776,406,-5156
tail,0,1592196554515,16360,180,3708,-1808,75,-5379
tail,0,1592196554565,16932,384,2948,-1776,899,-5684
tail,0,1592196554616,16868,984,1456,-1808,-304,-4545
tail,0,1592196554679,16860,1052,1556,-1760,-1252,-4716
tail,0,1592196554716,17052,1148,1484,-1808,-612,-3712
tail,0,1592196554766,16796,1088,1204,-1760,559,-5094
tail,0,1592196554815,16656,1464,36,-1792,-7,-5317
tail,0,1592196554865,16796,1908,-308,-1776,1010,-4767
tail,0,1592196554916,16792,2200,-1016,-1776,414,-5032
